TCSPC_Decay_2; IRF IRF	 	TCSPC_Decay_2; Decay	 	Fitted Curve	 	Residuals	 
Time[ns]	Intensity[Cnts]	Time[ns]	Intensity[Cnts]	Time[ns]	Intensity[Cnts]	Time[ns]	Resids.[StdDev.]
2.13599999146497	0	0	8	0	---	0	---
2.14399999143301	503	0.0079999999680336	8	0.0079999999680336	---	0.0079999999680336	---
2.15199999140104	644	0.0159999999360672	8	0.0159999999360672	---	0.0159999999360672	---
2.15999999136907	825	0.0239999999041008	1	0.0239999999041008	---	0.0239999999041008	---
2.16799999133711	180	0.0319999998721344	2	0.0319999998721344	---	0.0319999998721344	---
2.17599999130514	904	0.039999999840168	9	0.039999999840168	---	0.039999999840168	---
2.18399999127317	946	0.0479999998082016	3	0.0479999998082016	---	0.0479999998082016	---
2.19199999124121	594	0.0559999997762352	9	0.0559999997762352	---	0.0559999997762352	---
2.19999999120924	1231	0.0639999997442688	6	0.0639999997442688	---	0.0639999997442688	---
2.20799999117727	1096	0.0719999997123024	7	0.0719999997123024	---	0.0719999997123024	---
2.21599999114531	287	0.079999999680336	4	0.079999999680336	---	0.079999999680336	---
2.22399999111334	1368	0.0879999996483696	6	0.0879999996483696	---	0.0879999996483696	---
2.23199999108137	674	0.0959999996164032	5	0.0959999996164032	---	0.0959999996164032	---
2.23999999104941	2365	0.103999999584437	4	0.103999999584437	---	0.103999999584437	---
2.24799999101744	393	0.11199999955247	4	0.11199999955247	---	0.11199999955247	---
2.25599999098548	991	0.119999999520504	3	0.119999999520504	---	0.119999999520504	---
2.26399999095351	2874	0.127999999488538	4	0.127999999488538	---	0.127999999488538	---
2.27199999092154	269	0.135999999456571	1	0.135999999456571	---	0.135999999456571	---
2.27999999088958	1933	0.143999999424605	5	0.143999999424605	---	0.143999999424605	---
2.28799999085761	137	0.151999999392638	8	0.151999999392638	---	0.151999999392638	---
2.29599999082564	2626	0.159999999360672	7	0.159999999360672	---	0.159999999360672	---
2.30399999079368	947	0.167999999328706	3	0.167999999328706	---	0.167999999328706	---
2.31199999076171	1509	0.175999999296739	4	0.175999999296739	---	0.175999999296739	---
2.31999999072974	1337	0.183999999264773	7	0.183999999264773	---	0.183999999264773	---
2.32799999069778	1329	0.191999999232806	6	0.191999999232806	---	0.191999999232806	---
2.33599999066581	369	0.19999999920084	0	0.19999999920084	---	0.19999999920084	---
2.34399999063384	547	0.207999999168874	10	0.207999999168874	---	0.207999999168874	---
2.35199999060188	3952	0.215999999136907	7	0.215999999136907	---	0.215999999136907	---
2.35999999056991	0	0.223999999104941	3	0.223999999104941	---	0.223999999104941	---
 	 	0.231999999072974	8	0.231999999072974	---	0.231999999072974	---
 	 	0.239999999041008	4	0.239999999041008	---	0.239999999041008	---
 	 	0.247999999009042	4	0.247999999009042	---	0.247999999009042	---
 	 	0.255999998977075	1	0.255999998977075	---	0.255999998977075	---
 	 	0.263999998945109	2	0.263999998945109	---	0.263999998945109	---
 	 	0.271999998913142	7	0.271999998913142	---	0.271999998913142	---
 	 	0.279999998881176	6	0.279999998881176	---	0.279999998881176	---
 	 	0.28799999884921	2	0.28799999884921	---	0.28799999884921	---
 	 	0.295999998817243	5	0.295999998817243	---	0.295999998817243	---
 	 	0.303999998785277	7	0.303999998785277	---	0.303999998785277	---
 	 	0.31199999875331	10	0.31199999875331	---	0.31199999875331	---
 	 	0.319999998721344	7	0.319999998721344	---	0.319999998721344	---
 	 	0.327999998689378	3	0.327999998689378	---	0.327999998689378	---
 	 	0.335999998657411	6	0.335999998657411	---	0.335999998657411	---
 	 	0.343999998625445	4	0.343999998625445	---	0.343999998625445	---
 	 	0.351999998593478	5	0.351999998593478	---	0.351999998593478	---
 	 	0.359999998561512	4	0.359999998561512	---	0.359999998561512	---
 	 	0.367999998529546	6	0.367999998529546	---	0.367999998529546	---
 	 	0.375999998497579	4	0.375999998497579	---	0.375999998497579	---
 	 	0.383999998465613	5	0.383999998465613	---	0.383999998465613	---
 	 	0.391999998433646	2	0.391999998433646	---	0.391999998433646	---
 	 	0.39999999840168	4	0.39999999840168	---	0.39999999840168	---
 	 	0.407999998369714	5	0.407999998369714	---	0.407999998369714	---
 	 	0.415999998337747	7	0.415999998337747	---	0.415999998337747	---
 	 	0.423999998305781	8	0.423999998305781	---	0.423999998305781	---
 	 	0.431999998273814	3	0.431999998273814	---	0.431999998273814	---
 	 	0.439999998241848	4	0.439999998241848	---	0.439999998241848	---
 	 	0.447999998209882	6	0.447999998209882	---	0.447999998209882	---
 	 	0.455999998177915	8	0.455999998177915	---	0.455999998177915	---
 	 	0.463999998145949	3	0.463999998145949	---	0.463999998145949	---
 	 	0.471999998113982	3	0.471999998113982	---	0.471999998113982	---
 	 	0.479999998082016	8	0.479999998082016	---	0.479999998082016	---
 	 	0.48799999805005	6	0.48799999805005	---	0.48799999805005	---
 	 	0.495999998018083	4	0.495999998018083	---	0.495999998018083	---
 	 	0.503999997986117	7	0.503999997986117	---	0.503999997986117	---
 	 	0.51199999795415	5	0.51199999795415	---	0.51199999795415	---
 	 	0.519999997922184	4	0.519999997922184	---	0.519999997922184	---
 	 	0.527999997890218	4	0.527999997890218	---	0.527999997890218	---
 	 	0.535999997858251	4	0.535999997858251	---	0.535999997858251	---
 	 	0.543999997826285	1	0.543999997826285	---	0.543999997826285	---
 	 	0.551999997794318	7	0.551999997794318	---	0.551999997794318	---
